EVSE_Type,Year,Accessibility
All EVSE,Year2014,27.58218073
All EVSE,Year2014,57.67302683
All EVSE,Year2014,31.25664079
All EVSE,Year2014,7.268046258
All EVSE,Year2014,57.63088045
All EVSE,Year2014,24.5906983
All EVSE,Year2014,17.55850101
All EVSE,Year2014,46.78851113
All EVSE,Year2014,65.38166133
All EVSE,Year2014,9.937187486
All EVSE,Year2014,31.18682945
All EVSE,Year2014,17.38285673
All EVSE,Year2014,27.80055588
All EVSE,Year2014,10.32402266
All EVSE,Year2014,42.38184132
All EVSE,Year2014,32.02944368
All EVSE,Year2014,32.82427073
All EVSE,Year2014,16.25590398
All EVSE,Year2014,9.575002895
All EVSE,Year2014,3.740445762
All EVSE,Year2014,66.10458824
All EVSE,Year2014,27.05888129
All EVSE,Year2014,33.03639176
All EVSE,Year2014,15.39537607
All EVSE,Year2014,34.27056452
All EVSE,Year2014,2354.394187
All EVSE,Year2014,11.46559927
All EVSE,Year2014,104.5143739
All EVSE,Year2014,64.02490185
All EVSE,Year2014,59.49894012
All EVSE,Year2014,79.6345213
All EVSE,Year2014,199.3710129
All EVSE,Year2014,17.291553
All EVSE,Year2014,8.06148876
All EVSE,Year2014,36.67459182
All EVSE,Year2014,15.1698464
All EVSE,Year2014,59.65884266
All EVSE,Year2014,25.05466411
All EVSE,Year2014,74.06150066
All EVSE,Year2014,264.0880224
All EVSE,Year2014,62.84304228
All EVSE,Year2014,67.46686227
All EVSE,Year2014,125.118572
All EVSE,Year2014,37.84656212
All EVSE,Year2014,106.9804015
All EVSE,Year2014,12.59850076
All EVSE,Year2014,51.29725573
All EVSE,Year2014,66.65395307
All EVSE,Year2014,79.78730725
All EVSE,Year2014,27.70354542
All EVSE,Year2014,34.11089412
All EVSE,Year2014,61.79991136
All EVSE,Year2014,55.83904736
All EVSE,Year2014,65.72640007
All EVSE,Year2014,243.8874264
All EVSE,Year2014,46.97262471
All EVSE,Year2014,25.42732396
All EVSE,Year2014,84.17246626
All EVSE,Year2014,31.59338809
All EVSE,Year2014,82.53857511
All EVSE,Year2014,5.924504588
All EVSE,Year2014,21.16710799
All EVSE,Year2014,108.7333414
All EVSE,Year2014,130.9366392
All EVSE,Year2014,123.3108231
All EVSE,Year2014,133.3091649
All EVSE,Year2014,80.98522211
All EVSE,Year2014,73.98242544
All EVSE,Year2014,87.22473795
All EVSE,Year2014,27.10773072
All EVSE,Year2014,116.4889553
All EVSE,Year2014,4.976583313
All EVSE,Year2014,58.90924798
All EVSE,Year2014,117.0400124
All EVSE,Year2014,3.374311353
All EVSE,Year2014,258.8097545
All EVSE,Year2014,16.26007083
All EVSE,Year2014,8.411194227
All EVSE,Year2014,61.4598568
All EVSE,Year2014,18.91156967
All EVSE,Year2014,87.45394996
All EVSE,Year2014,164.0754383
All EVSE,Year2014,19.87499599
All EVSE,Year2014,123.6336628
All EVSE,Year2014,10.22354223
All EVSE,Year2014,236.3687182
All EVSE,Year2014,37.31772917
All EVSE,Year2014,19.02788653
All EVSE,Year2014,110.1152749
All EVSE,Year2014,33.80489867
All EVSE,Year2014,1.025260408
All EVSE,Year2014,14.09990824
All EVSE,Year2014,10.2177866
All EVSE,Year2014,116.6418554
All EVSE,Year2014,74.21687092
All EVSE,Year2014,88.7811834
All EVSE,Year2014,48.3428401
All EVSE,Year2014,10.4078696
All EVSE,Year2014,6.243369426
All EVSE,Year2014,224.0809393
All EVSE,Year2014,53.0095048
All EVSE,Year2014,7.10182367
All EVSE,Year2014,8.491321963
All EVSE,Year2014,54.39592264
All EVSE,Year2014,71.549884
All EVSE,Year2014,26.08674769
All EVSE,Year2014,12.1612419
All EVSE,Year2014,44.72163088
All EVSE,Year2014,34.89308715
All EVSE,Year2014,12.37517667
All EVSE,Year2014,90.01221695
All EVSE,Year2014,180.2821462
All EVSE,Year2014,1015.282512
All EVSE,Year2014,56.97170407
All EVSE,Year2014,17.95458947
All EVSE,Year2014,32.57707607
All EVSE,Year2014,12.72950972
All EVSE,Year2014,19.59719562
All EVSE,Year2014,15.78891871
All EVSE,Year2014,22.48092515
All EVSE,Year2014,30.86616807
All EVSE,Year2014,26.53860089
All EVSE,Year2014,13.08987924
All EVSE,Year2014,20.37556101
All EVSE,Year2014,9.985105632
All EVSE,Year2014,37.31796345
All EVSE,Year2014,39.57685129
All EVSE,Year2014,8.037388804
All EVSE,Year2014,17.88701623
All EVSE,Year2014,18.09280585
All EVSE,Year2014,267.6101047
All EVSE,Year2014,8.349626216
All EVSE,Year2014,25.02567838
All EVSE,Year2014,0.037442389
All EVSE,Year2014,161.9795963
All EVSE,Year2014,30.11326265
All EVSE,Year2014,28.55857065
All EVSE,Year2014,4.712685462
All EVSE,Year2014,6.067098547
All EVSE,Year2014,35.27306963
All EVSE,Year2014,28.67597426
All EVSE,Year2014,19.72379545
All EVSE,Year2014,44.80228135
All EVSE,Year2014,17.54084144
All EVSE,Year2014,40.59194919
All EVSE,Year2014,4.341592293
All EVSE,Year2014,15.48602025
All EVSE,Year2014,29.78686011
All EVSE,Year2014,39.82345217
All EVSE,Year2014,50.01467387
All EVSE,Year2014,68.54536926
All EVSE,Year2014,22.43183922
All EVSE,Year2014,44.50258506
All EVSE,Year2014,14.86787197
All EVSE,Year2014,0.15451373
All EVSE,Year2014,16.85426649
All EVSE,Year2014,17.31309419
All EVSE,Year2014,31.57761271
All EVSE,Year2014,22.15998147
